"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "JSON", "Properties", "XML", "Markdown", "Ignore", "Docker", "HTML", "comment", "blank", "total"
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142221.json", "JSON", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 130
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142242.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142242.json", "JSON", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 110
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142305.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142305.json", "JSON", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 110
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142333.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142333.json", "JSON", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 206
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142358.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142358.json", "JSON", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 110
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142423.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142423.json", "JSON", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 110
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142511.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_06232021_142511.json", "JSON", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 110
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160126.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160126.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160224.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160224.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160301.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160301.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160428.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160428.json", "JSON", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 201
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160512.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160512.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160557.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160557.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160719.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/report/mochawesome-report/mochawesome_12252020_160719.json", "JSON", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/support/commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 26
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/cypress/support/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 21
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/gatsby-browser.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 16
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/gatsby-config.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 101
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/gatsby-node.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 33
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/gatsby-ssr.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 36
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/nginx.conf", "Properties", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/package.json", "JSON", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 4, 0, 158
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Header.tsx", "TypeScript React", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 150
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/ContextMenu/index.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 58
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/ContextMenu/style.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Icon/defaultIcons.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Icon/index.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 64
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Icon/style.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Layout/index.tsx", "TypeScript React", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 153
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Layout/layout-context.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Layout/style.ts", "TypeScript", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 282
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Menu/index.tsx", "TypeScript React", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 117
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Menu/item.tsx", "TypeScript React", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 129
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Menu/style.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 154
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/PopoverLay/index.tsx", "TypeScript React", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 123
